"id","group","sex","age","baseline","mid","post","skewed_outcome","binary_outcome","category_three","constant","predictor","predictor_collinear"
23,"Control","Male",35.1,40.27,46.44,44.38,1.46,"No","Medium",1,35.93,71.86
24,"Control","Non-binary",30.1,31.51,37.88,27.85,21.38,"No","High",1,29.59,59.18
25,"Control","Female",34.6,39.47,41.78,46.39,15.53,"No","Low",1,35.74,71.48
26,"Control","Male",22.9,40.71,40.52,43.22,21.44,"No","Medium",1,25.22,50.44
27,"Control","Non-binary",29.1,51,53.43,50.55,4.82,"No","High",1,28.55,57.1
28,"Control","Female",30.7,57.83,59.66,62.63,0.7,"No","Low",1,29.19,58.38
29,"Control","Male",29.5,54.53,61.48,55.28,0.56,"No","Medium",1,28.96,57.92
30,"Control","Non-binary",58.7,56.56,63.53,61.79,13.46,"Yes","High",1,59.42,118.84
31,"Treatment","Female",24,56.96,57.28,64.39,3.28,"No","Low",1,25.93,51.86
32,"Treatment","Male",16.2,66,70.27,76.99,3.2,"No","Medium",1,14.93,29.86
33,"Treatment","Non-binary",46.2,31.35,42.92,39.19,2.34,"Yes","High",1,45.35,90.7
34,"Treatment","Female",40.8,56.57,62.38,67.31,14.71,"Yes","Low",1,41.06,82.12
35,"Treatment","Male",26.5,51.97,54.64,61.98,4.12,"No","Medium",1,26.59,53.18
36,"Treatment","Non-binary",43.1,72.39,87.49,80.76,11.88,"Yes","High",1,47.93,95.86
37,"Treatment","Female",33.2,50.83,50.4,67.03,0.27,"No","Low",1,33.34,66.68
38,"Treatment","Male",25,62.46,74.54,73.04,0.02,"Yes","Medium",1,28.2,56.4
39,"Treatment","Non-binary",21.2,59.4,66.83,75.43,45.15,"Yes","High",1,21.7,43.4
40,"Treatment","Female",15.3,39.85,40.43,54.06,9.8,"No","Low",1,14.45,28.9
41,"Treatment","Male",35,44.65,51.25,49.88,6.89,"No","Medium",1,35.8,71.6
42,"Treatment","Non-binary",23.4,43.19,47.09,55.28,6.72,"No","High",1,22.1,44.2
43,"Treatment","Female",42.3,57.51,50.96,64.7,1.58,"Yes","Low",1,37.99,75.98
44,"Treatment","Male",46.8,78.72,83.59,85.69,7.27,"No","Medium",1,44.82,89.64
45,"Treatment","Non-binary",22.1,40.89,49.73,57.19,13.86,"No","High",1,20.85,41.7
46,"Treatment","Female",40.4,40.83,46.12,52.44,0.56,"Yes","Low",1,44.07,88.14
47,"Treatment","Male",24.6,64.56,70.4,74.24,0.86,"No","Medium",1,25.28,50.56
48,"Treatment","Non-binary",43.5,50.49,61.76,55.14,2.09,"Yes",,1,41.2,82.4
49,"Treatment","Female",35.2,43.71,51.26,54.07,6.25,"No","Low",1,32.59,65.18
50,"Treatment","Male",28.3,43.28,41.36,51.9,9.24,"No","Medium",1,30.14,60.28
51,"Treatment","Non-binary",30.5,65.28,66.89,64.63,7.33,"Yes","High",1,28.23,56.46
52,"Treatment","Female",25.9,30.94,33.53,40.54,4.41,"Yes","Low",1,27,54
53,"Treatment","Male",43.4,29.73,33.26,35.51,3.45,"No","Medium",1,45.12,90.24
54,"Treatment","Non-binary",47.4,39.32,37.46,42.6,1.73,"No","High",1,49.8,99.6
55,"Treatment","Female",27.3,,51.2,49.16,0.17,"No","Low",1,27.63,55.26
56,"Treatment","Male",40.3,38.77,41.35,51.28,9.76,"No","Medium",1,40.61,81.22
57,"Treatment","Non-binary",31.2,32.3,35.86,44.64,6.05,"Yes","High",1,29.22,58.44
58,"Treatment","Female",34.4,57.33,58.96,62.48,2.22,"Yes","Low",1,33.29,66.58
59,"Treatment","Male",27.6,50.5,57.97,62.09,4.43,"No","Medium",1,30.28,60.56
60,"Treatment","Non-binary",33.2,61.72,69.16,74.65,0.13,"No","High",1,30.54,61.08
61,"Treatment","Female",32.1,42.93,48.31,47.43,0.54,"Yes","Low",1,31.15,62.3
62,"Treatment","Male",35.3,58.13,59.74,63.11,10.44,"Yes","Medium",1,34.75,69.5
63,"Treatment","Non-binary",23.6,59.03,65.17,,5.35,"Yes","High",1,21.13,42.26
64,"Treatment","Female",23.5,55.41,58.8,69.68,1.11,"Yes","Low",1,24.1,48.2
65,"Treatment","Male",54,21.25,26.58,24.56,3.72,"Yes","Medium",1,53.85,107.7
66,"Treatment","Non-binary",54.8,63.07,69.65,73.8,2.7,"Yes","High",1,52.57,105.14
67,"Treatment","Female",33,42.28,50.26,53.13,22.75,"No","Low",1,32.77,65.54
68,"Treatment","Male",35.3,50.56,52.41,57.08,7.14,"Yes","Medium",1,35.57,71.14
69,"Treatment","Non-binary",27.5,53.94,52.47,62.29,5.21,"No","High",1,28.87,57.74
70,"Treatment","Female",24.8,68.64,73.91,79.98,2.16,"Yes","Low",1,27.14,54.28
71,"Treatment","Male",19.9,67.46,74.47,77.66,15.4,"Yes","Medium",1,18.23,36.46
72,"Treatment","Non-binary",33.8,48.86,53.39,54,2.39,"Yes","High",1,30.92,61.84
